unom,Наименование,Количество обращений
22764,Загрязнение/замусоренность подъезда,36
22764,Засор мусоропровода,32
22765,Загрязнение/замусоренность подъезда,106
22765,Лифт требует ремонта,48
22766,Отсутствуют актуальные мгновенные значения,58
22766,Отсутствие освещения в местах общего пользования,46
22767,Засор мусоропровода,39
22767,Лифт требует ремонта,24
22768,Засор мусоропровода,94
22768,Загрязнение/замусоренность подъезда,45
22769,Загрязнение/замусоренность подъезда,46
22769,Лифт требует ремонта,38
22770,Недогрев ГВС,110
22770,Отсутствие ГВС в доме,53
22771,Отсутствуют актуальные мгновенные значения,114
22771,Нет связи с УСПД,55
22772,Отсутствуют актуальные суточные значения,18
22772,Отсутствуют актуальные мгновенные значения,11
22773,Недогрев ГВС,18
22773,Загрязнение/замусоренность подъезда,14
22774,Отсутствуют актуальные мгновенные значения,13
22774,Засор канализации,11
22775,Отсутствуют актуальные мгновенные значения,6
22775,Температура ГВС ниже нормы,6
22776,Недогрев ГВС,25
22776,Низкий уровень сигнала GSM,25
22777,Отсутствуют актуальные суточные значения,13
22777,Отсутствуют актуальные мгновенные значения,11
22815,Низкий уровень сигнала GSM,30
22815,Температура в квартире ниже нормативной,20
22816,Отсутствуют актуальные мгновенные значения,32
22816,Температура в квартире ниже нормативной,31
22817,Засор мусоропровода,75
22817,Температура в квартире ниже нормативной,71
22818,Температура в квартире ниже нормативной,43
22818,Изменение конфигурации УСПД,9
22819,Низкий уровень сигнала GSM,8
22819,Загрязнение/замусоренность подъезда,5
22820,Загрязнение/замусоренность подъезда,7
22820,Изменение конфигурации УСПД,7
22821,Засор мусоропровода,32
22821,Отсутствие освещения в местах общего пользования,30
22822,Отсутствие ГВС в доме,69
22822,Недогрев ГВС,62
22823,Отсутствие освещения в местах общего пользования,16
22823,Отсутствуют актуальные мгновенные значения,16
22824,Отсутствует циркуляция ГВС,19
22824,Температура ГВС ниже нормы,16
22825,Отсутствуют актуальные суточные значения,37
22825,Низкий уровень сигнала GSM,12
22826,Отсутствуют актуальные суточные значения,36
22826,Повреждение элементов входной двери,20
22827,Лифт требует ремонта,47
22827,Низкий уровень сигнала GSM,27
22828,Отсутствуют актуальные суточные значения,12
22828,Отсутствуют актуальные мгновенные значения,9
22829,Отсутствие освещения в местах общего пользования,45
22829,Температура в квартире ниже нормативной,41
22830,Лифт требует ремонта,55
22830,Отсутствие освещения в местах общего пользования,41
22831,Отсутствие ХВС в доме,45
22831,Отсутствие освещения в местах общего пользования,35
22832,Загрязнение/замусоренность подъезда,47
22832,Отсутствуют актуальные мгновенные значения,23
22833,Засор мусоропровода,78
22833,Отсутствие освещения в местах общего пользования,73
22834,Температура в квартире ниже нормативной,28
22834,Отсутствуют актуальные мгновенные значения,24
22835,Отсутствие освещения в местах общего пользования,49
22835,Лифт требует ремонта,33
22836,Температура в квартире ниже нормативной,74
22836,Отсутствие ГВС в доме,31
22837,Температура в квартире ниже нормативной,52
22837,Критичное отклонение температуры ГВС ниже нормы днем (мониторинг),26
22838,Температура в квартире ниже нормативной,39
22838,Отсутствуют актуальные мгновенные значения,24
22839,Температура в квартире ниже нормативной,33
22839,Низкий уровень сигнала GSM,27
22840,Отсутствуют актуальные мгновенные значения,24
22840,Лифт требует ремонта,21
22841,Низкий уровень сигнала GSM,29
22841,Отсутствуют актуальные мгновенные значения,20
22842,Температура в квартире ниже нормативной,47
22842,Лифт требует ремонта,17
22843,Температура в квартире ниже нормативной,57
22843,Лифт требует ремонта,26
22844,Лифт требует ремонта,49
22844,Загрязнение/замусоренность подъезда,19
22845,Недогрев ГВС,57
22845,Температура в квартире ниже нормативной,43
22846,Температура в квартире ниже нормативной,189
22846,Лифт требует ремонта,47
22847,Температура в квартире ниже нормативной,22
22847,Температура ГВС ниже нормы,21
23359,Нет связи с ПУ,70
23359,Отсутствует циркуляция ГВС,38
23360,Температура в квартире ниже нормативной,29
23360,Отсутствие ХВС в доме,26
23361,Отсутствие ГВС в доме,68
23361,Температура в квартире ниже нормативной,36
23362,Отсутствуют актуальные мгновенные значения,17
23362,Низкий уровень сигнала GSM,14
23363,Низкий уровень сигнала GSM,18
23363,Температура в квартире ниже нормативной,15
23365,Отсутствуют актуальные мгновенные значения,24
23365,Температура в квартире ниже нормативной,15
23366,Низкий уровень сигнала GSM,29
23366,Отсутствуют актуальные суточные значения,26
23367,Отсутствуют актуальные мгновенные значения,22
23367,Температура в квартире ниже нормативной,15
23368,Низкий уровень сигнала GSM,36
23368,Отсутствие освещения в местах общего пользования,23
23369,Низкий уровень сигнала GSM,32
23369,Отсутствуют актуальные суточные значения,22
23370,Отсутствуют актуальные мгновенные значения,26
23370,Отсутствуют актуальные суточные значения,22
23371,Отсутствие ХВС в доме,28
23371,Повреждение элементов входной двери,19
23373,T1 > max,56
23373,Температура в квартире ниже нормативной,30
23374,Отсутствуют актуальные мгновенные значения,57
23374,Нет связи с ПУ,40
23375,Нет связи с ПУ,526
23375,Отсутствуют актуальные мгновенные значения,174
23376,T1 < min,48
23376,Отсутствуют актуальные мгновенные значения,9
23377,Отсутствуют актуальные мгновенные значения,8
23377,Отсутствие освещения в местах общего пользования,7
23378,Температура ГВС ниже нормы,68
23378,Отсутствие ГВС в доме,21
23379,Загрязнение/замусоренность подъезда,32
23379,Отсутствуют актуальные мгновенные значения,13
23380,Загрязнение/замусоренность подъезда,15
23380,Отсутствие ГВС в доме,6
23718,Недогрев ГВС,121
23718,Повреждение системы электропроводки/щитового оборудования,74
23719,Нет связи с ПУ,46
23719,Лифт требует ремонта,27
23720,Отсутствие освещения в местах общего пользования,34
23720,Нет связи с ПУ,32
23721,Отсутствие освещения в местах общего пользования,52
23721,Недогрев ГВС,34
23722,Отсутствие ГВС в доме,63
23722,Температура в квартире ниже нормативной,43
23723,Температура в квартире ниже нормативной,22
23723,Загрязнение/замусоренность подъезда,12
23724,Нет связи с ПУ,47
23724,Отсутствуют актуальные мгновенные значения,11
23725,Температура в квартире ниже нормативной,32
23725,Отсутствуют актуальные мгновенные значения,17
23726,Температура в квартире ниже нормативной,85
23726,Лифт требует ремонта,46
23727,Лифт требует ремонта,29
23727,Температура в квартире ниже нормативной,26
23728,Температура в квартире ниже нормативной,121
23728,Отсутствуют актуальные мгновенные значения,54
23729,Температура в квартире ниже нормативной,38
23729,Низкий уровень сигнала GSM,23
23730,Отсутствуют актуальные суточные значения,31
23730,Отсутствуют актуальные мгновенные значения,24
23732,Низкий уровень сигнала GSM,25
23732,Температура в квартире ниже нормативной,25
23733,Открыт колодец,3
23733,"Качество воды, прочее",1
23734,Отсутствуют актуальные мгновенные значения,193
23734,Отсутствует циркуляция ГВС,20
23735,Отсутствуют актуальные суточные значения,16
23735,Отсутствуют актуальные мгновенные значения,12
23736,Низкий уровень сигнала GSM,29
23736,Температура в квартире ниже нормативной,27
23737,Отсутствуют актуальные мгновенные значения,26
23737,Отсутствует циркуляция ГВС,17
23738,Низкий уровень сигнала GSM,36
23738,Отсутствуют актуальные мгновенные значения,17
23739,Отсутствуют актуальные мгновенные значения,21
23739,Неочищенная кровля,9
23740,Засор канализации,18
23740,Недогрев ГВС,11
23741,Низкий уровень сигнала GSM,16
23741,Отсутствуют актуальные суточные значения,15
23742,Температура в квартире ниже нормативной,70
23742,Лифт требует ремонта,38
23743,Низкий уровень сигнала GSM,34
23743,Загрязнение/замусоренность подъезда,28
23744,Отсутствуют актуальные мгновенные значения,6
23744,Отсутствуют актуальные суточные значения,6
23745,Нет связи с ПУ,287
23745,Температура в квартире ниже нормативной,11
23746,Температура в квартире ниже нормативной,24
23746,Отсутствуют актуальные мгновенные значения,22
23747,Низкий уровень сигнала GSM,22
23747,Повреждение элементов входной двери,13
23748,Температура в квартире ниже нормативной,6
23748,Неочищенная кровля,2
23749,Отсутствует циркуляция ГВС,47
23749,Протечка с кровли,35
23750,Отсутствие освещения в местах общего пользования,4
23750,Протечка с кровли,4
23751,Отсутствует циркуляция ГВС,33
23751,Температура в квартире ниже нормативной,26
23752,Отсутствуют актуальные мгновенные значения,58
23752,Температура в квартире ниже нормативной,52
23753,Температура в квартире ниже нормативной,55
23753,Загрязнение/замусоренность подъезда,35
23754,Отсутствует циркуляция ГВС,45
23754,Отсутствие освещения в местах общего пользования,38
23755,Отсутствие ГВС в доме,102
23755,Отсутствие освещения в местах общего пользования,49
23756,Повреждение инженерных сетей,1
23757,Температура в квартире ниже нормативной,28
23757,Загрязнение/замусоренность подъезда,25
23758,Температура в квартире ниже нормативной,88
23758,Отсутствие освещения в местах общего пользования,25
23759,Нет питания УСПД,8
23759,Изменение конфигурации УСПД,5
23760,Нет связи с ПУ,360
23760,Засор мусоропровода,28
23761,Отсутствие освещения в местах общего пользования,47
23761,Отсутствует циркуляция ГВС,32
23762,Отсутствие освещения в местах общего пользования,18
23762,Повреждение элементов входной двери,7
23763,Отсутствие освещения в местах общего пользования,56
23763,Засор канализации,19
23764,Отсутствуют актуальные мгновенные значения,15
23764,Отсутствует циркуляция ГВС,14
23765,Температура в квартире ниже нормативной,25
23765,Отсутствует циркуляция ГВС,18
23766,Повреждение элементов входной двери,13
23766,T1 > max,12
23767,T1 > max,20
23767,Низкий уровень сигнала GSM,15
23768,Температура в квартире ниже нормативной,23
23768,Отсутствие освещения в местах общего пользования,18
23769,T1 > max,27
23769,Отсутствуют актуальные мгновенные значения,20
23770,Нет связи с ПУ,35
23770,Отсутствуют актуальные мгновенные значения,21
23771,Отсутствуют актуальные мгновенные значения,951
23771,Температура ГВС ниже нормы,10
23772,Отсутствуют актуальные мгновенные значения,16
23772,Низкий уровень сигнала GSM,10
23773,Отсутствуют актуальные мгновенные значения,26
23773,Температура в квартире ниже нормативной,13
23774,Отсутствуют актуальные мгновенные значения,10
23774,Нет связи с УСПД,4
23775,Отсутствуют актуальные суточные значения,11
23775,Нет питания УСПД,9
23776,Температура в квартире ниже нормативной,73
23776,T1 > max,38
23777,Отсутствуют актуальные мгновенные значения,31
23777,Низкий уровень сигнала GSM,21
23778,Отсутствие освещения в местах общего пользования,45
23778,Температура в квартире ниже нормативной,20
23779,Отсутствие освещения в местах общего пользования,23
23779,T1 > max,22
23780,T1 > max,38
23780,Загрязнение/замусоренность подъезда,10
23781,Отсутствие освещения в местах общего пользования,26
23781,Лифт требует ремонта,14
23782,Низкий уровень сигнала GSM,31
23782,Нет связи с УСПД,10
23783,Загрязнение/замусоренность подъезда,25
23783,Температура в квартире ниже нормативной,21
23785,Засор мусоропровода,44
23785,Загрязнение/замусоренность подъезда,32
23786,Загрязнение/замусоренность подъезда,46
23786,Температура в квартире ниже нормативной,36
23787,Нет связи с ПУ,84
23787,Отсутствуют актуальные мгновенные значения,26
23788,Температура в квартире ниже нормативной,15
23788,Отсутствуют актуальные мгновенные значения,13
23789,T1 > max,46
23789,Недогрев ГВС,28
23790,Температура в квартире ниже нормативной,88
23790,Повреждение элементов входной двери,33
23792,Отсутствуют актуальные суточные значения,116
23792,Лифт требует ремонта,20
23793,Температура ГВС ниже нормы,44
23793,Температура в квартире ниже нормативной,38
23794,Температура в квартире ниже нормативной,86
23794,Недогрев ГВС,81
23795,Температура в квартире ниже нормативной,11
23795,Повреждение системы электропроводки/щитового оборудования,5
23796,T1 > max,241
23796,Отсутствуют актуальные мгновенные значения,16
23797,Температура в квартире ниже нормативной,114
23797,Недогрев ГВС,37
23798,Температура в квартире ниже нормативной,89
23798,Отсутствие освещения в местах общего пользования,26
23799,Отсутствуют актуальные мгновенные значения,682
23799,Нет связи с УСПД,51
23800,Температура в квартире ниже нормативной,55
23800,Недогрев ГВС,32
23801,Температура в квартире ниже нормативной,48
23801,Отсутствие освещения в местах общего пользования,24
23802,Загрязнение/замусоренность подъезда,17
23802,Температура в квартире ниже нормативной,15
23803,Температура в квартире ниже нормативной,50
23803,Лифт требует ремонта,32
23804,Температура в квартире ниже нормативной,122
23804,Недогрев ГВС,91
23805,Температура в квартире ниже нормативной,68
23805,Загрязнение/замусоренность подъезда,35
23806,Отсутствует циркуляция ГВС,54
23806,Повреждение системы электропроводки/щитового оборудования,42
23807,Отсутствие освещения в местах общего пользования,35
23807,Отсутствует циркуляция ГВС,23
23808,Температура в квартире ниже нормативной,79
23808,Аварийная протечка с кровли,22
23809,Температура в квартире ниже нормативной,38
23809,Неочищенная кровля,18
23810,Отсутствие освещения в местах общего пользования,42
23810,Засор мусоропровода,25
23811,Отсутствие ХВС в доме,28
23811,Отсутствуют актуальные мгновенные значения,24
23812,Отсутствие ХВС в доме,40
23812,Температура в квартире ниже нормативной,28
23813,Повреждение элементов входной двери,27
23813,Температура в квартире ниже нормативной,22
23814,Температура в квартире ниже нормативной,28
23814,Низкий уровень сигнала GSM,23
23815,Нет питания УСПД,1971
23815,Открыт шкаф УСПД,45
23816,Температура в квартире ниже нормативной,193
23816,Отсутствие ХВС в доме,34
23817,Температура в квартире ниже нормативной,104
23817,Отсутствуют актуальные мгновенные значения,54
24032,Лифт требует ремонта,59
24032,Засор мусоропровода,33
24033,Температура в квартире ниже нормативной,157
24033,Лифт требует ремонта,40
24034,Отсутствие освещения в местах общего пользования,32
24034,Температура в квартире ниже нормативной,31
24035,Температура в квартире ниже нормативной,33
24035,Отсутствие освещения в местах общего пользования,20
24036,Нет питания УСПД,4953
24036,Температура в квартире ниже нормативной,43
24037,Температура в квартире ниже нормативной,37
24037,Отсутствуют актуальные суточные значения,19
24038,Недогрев ГВС,98
24038,Отсутствуют актуальные мгновенные значения,95
24039,Температура в квартире ниже нормативной,40
24039,Отсутствие ГВС в доме,27
24040,Температура в квартире ниже нормативной,116
24040,Отсутствие ГВС в доме,31
24041,Температура в квартире ниже нормативной,60
24041,Лифт требует ремонта,22
24042,Отсутствие ГВС в доме,30
24042,Загрязнение/замусоренность подъезда,26
24043,Температура в квартире ниже нормативной,83
24043,Лифт требует ремонта,37
24044,Температура в квартире ниже нормативной,93
24044,Отсутствие ГВС в доме,38
24045,Температура в квартире ниже нормативной,79
24045,Отсутствуют актуальные мгновенные значения,33
24127,Отсутствует циркуляция ГВС,39
24127,T1 > max,37
24128,Отсутствуют актуальные мгновенные значения,12
24128,Отсутствие освещения в местах общего пользования,11
24129,Отсутствуют актуальные мгновенные значения,19
24129,Отсутствуют актуальные суточные значения,18
24130,Отсутствуют актуальные мгновенные значения,30
24130,Температура в квартире ниже нормативной,15
24131,Низкий уровень сигнала GSM,27
24131,Отсутствие освещения в местах общего пользования,22
24132,Отсутствуют актуальные суточные значения,27
24132,Температура в квартире ниже нормативной,21
24133,Отсутствуют актуальные мгновенные значения,485
24133,Температура в квартире ниже нормативной,13
24135,Отсутствуют актуальные мгновенные значения,30
24135,Нет связи с УСПД,9
24136,Отсутствие ГВС в доме,26
24136,Недогрев ГВС,22
24138,Температура в квартире ниже нормативной,36
24138,Низкий уровень сигнала GSM,9
24139,Отсутствие освещения в местах общего пользования,38
24139,Засор канализации,24
24140,Изменение конфигурации УСПД,131
24140,Температура в квартире ниже нормативной,17
24141,Температура в квартире ниже нормативной,20
24141,Низкий уровень сигнала GSM,14
24142,Температура в квартире ниже нормативной,119
24142,Температура ГВС ниже нормы,101
24143,Температура в квартире ниже нормативной,52
24143,Засор канализации,39
24144,Нет связи с ПУ,305
24144,Низкий уровень сигнала GSM,27
24147,Отсутствуют актуальные мгновенные значения,36
24147,Нет связи с ПУ,16
24148,Отсутствует циркуляция ГВС,18
24148,Отсутствие ХВС в доме,14
24149,Температура в квартире ниже нормативной,57
24149,Отсутствие ГВС в доме,42
24151,Температура в квартире ниже нормативной,28
24151,Отсутствуют актуальные мгновенные значения,14
24152,Температура в квартире ниже нормативной,33
24152,Повреждение внутренней двери,12
24153,Температура ГВС ниже нормы,199
24153,Отсутствие ГВС в доме,11
24154,Загрязнение/замусоренность подъезда,20
24154,Температура ГВС ниже нормы,16
24155,Загрязнение/замусоренность подъезда,16
24155,Отсутствуют актуальные мгновенные значения,16
24156,Загрязнение/замусоренность подъезда,18
24156,Температура в квартире ниже нормативной,17
24157,Загрязнение/замусоренность подъезда,29
24157,Отсутствуют актуальные мгновенные значения,27
24158,Отсутствуют актуальные мгновенные значения,227
24158,Загрязнение/замусоренность подъезда,13
24159,T1 > max,69
24159,Отсутствуют актуальные мгновенные значения,50
24160,Отсутствуют актуальные мгновенные значения,477
24160,Отсутствуют актуальные суточные значения,10
24161,Отсутствуют актуальные мгновенные значения,71
24161,Загрязнение/замусоренность подъезда,9
24162,Температура в квартире ниже нормативной,28
24162,Загрязнение/замусоренность подъезда,16
24163,Отсутствуют актуальные мгновенные значения,232
24163,Нет связи с УСПД,83
24164,Лифт требует ремонта,48
24164,Отсутствуют актуальные мгновенные значения,21
24165,Нет связи с ПУ,433
24165,Лифт требует ремонта,48
24166,T1 > max,78
24166,Отсутствуют актуальные мгновенные значения,19
24167,Отсутствие ГВС в доме,9
24167,Температура в квартире ниже нормативной,8
24168,Температура в квартире ниже нормативной,33
24168,Низкий уровень сигнала GSM,27
24169,Температура в квартире ниже нормативной,30
24169,Загрязнение/замусоренность подъезда,14
24170,Лифт требует ремонта,24
24170,Застревание в лифте,7
24171,Лифт требует ремонта,30
24171,Низкий уровень сигнала GSM,23
24172,Температура в квартире ниже нормативной,65
24172,Отсутствуют актуальные мгновенные значения,40
24173,Отсутствуют актуальные мгновенные значения,19
24173,Температура ГВС ниже нормы,12
24174,Нет связи с ПУ,184
24174,Отсутствуют актуальные мгновенные значения,18
24175,Нет связи с ПУ,577
24175,Низкий уровень сигнала GSM,17
24176,T1 > max,48
24176,Отсутствует циркуляция ГВС,41
24177,Нет связи с ПУ,48
24177,Загрязнение/замусоренность подъезда,8
24178,Отсутствуют актуальные мгновенные значения,18
24178,Отсутствуют актуальные суточные значения,9
24179,Нет связи с ПУ,368
24179,Низкий уровень сигнала GSM,10
24180,Отсутствуют актуальные мгновенные значения,42
24180,Нет связи с ПУ,19
24181,Загрязнение/замусоренность подъезда,16
24181,Отсутствуют актуальные мгновенные значения,15
24182,Температура в квартире ниже нормативной,20
24182,Отсутствуют актуальные мгновенные значения,14
24183,Отсутствуют актуальные мгновенные значения,93
24183,Нет связи с ПУ,76
24184,Отсутствуют актуальные мгновенные значения,48
24184,Лифт требует ремонта,39
24187,Температура ГВС ниже нормы,101
24187,Низкий уровень сигнала GSM,33
24188,Температура ГВС ниже нормы,79
24188,Отсутствуют актуальные мгновенные значения,18
24189,Отсутствуют актуальные мгновенные значения,32
24189,Лифт требует ремонта,27
24190,Отсутствуют актуальные суточные значения,10
24190,Загрязнение/замусоренность подъезда,9
24191,Отсутствуют актуальные мгновенные значения,1766
24191,Лифт требует ремонта,17
24193,Отсутствие ГВС в доме,23
24193,Температура в квартире ниже нормативной,21
24194,Отсутствуют актуальные мгновенные значения,30
24194,Низкий уровень сигнала GSM,6
24195,Температура в квартире ниже нормативной,181
24195,Повреждение элементов входной двери,72
24196,Нет связи с ПУ,75
24196,Отсутствуют актуальные суточные значения,25
24197,Засор канализации,34
24197,Отсутствие освещения в местах общего пользования,28
24212,Отсутствуют актуальные мгновенные значения,64
24212,Низкий уровень сигнала GSM,21
24213,Засор мусоропровода,16
24213,Загрязнение/замусоренность подъезда,7
24214,Отсутствуют актуальные мгновенные значения,13
24214,Отсутствуют актуальные суточные значения,13
24215,Загрязнение/замусоренность подъезда,22
24215,Отсутствуют актуальные мгновенные значения,8
24216,Отсутствует циркуляция ГВС,89
24216,Отсутствие освещения в местах общего пользования,32
24217,Отсутствуют актуальные мгновенные значения,150
24217,Температура в квартире ниже нормативной,20
24218,Отсутствие освещения в местах общего пользования,59
24218,T1 > max,36
24219,Отсутствие освещения в местах общего пользования,21
24219,Протечка с кровли,9
24220,Отсутствует циркуляция ГВС,19
24220,Отсутствуют актуальные мгновенные значения,16
24221,Лифт требует ремонта,36
24221,Температура в квартире ниже нормативной,28
24222,Температура в квартире ниже нормативной,72
24222,Отсутствуют актуальные мгновенные значения,20
24223,Отсутствие освещения в местах общего пользования,82
24223,Отсутствуют актуальные мгновенные значения,27
24224,Отсутствие ГВС в доме,15
24224,Аварийное повреждение лестницы,13
24225,Отсутствуют актуальные мгновенные значения,8
24225,Нет связи с УСПД,6
24226,Загрязнение/замусоренность подъезда,15
24226,Повреждение элементов входной двери,14
24227,Отсутствие освещения в местах общего пользования,59
24227,Повреждение системы электропроводки/щитового оборудования,31
24228,Отсутствуют актуальные мгновенные значения,20
24228,Отсутствие освещения в местах общего пользования,12
24229,Недогрев ГВС,14
24229,Повреждение системы электропроводки/щитового оборудования,13
24230,Температура в квартире ниже нормативной,141
24230,Отсутствует циркуляция ГВС,52
24231,Температура в квартире ниже нормативной,252
24231,Отсутствует циркуляция ГВС,33
24232,Отсутствует циркуляция ГВС,26
24232,Аварийная протечка с кровли,23
24233,Температура в квартире ниже нормативной,26
24233,Отсутствуют актуальные мгновенные значения,22
24234,Температура в квартире ниже нормативной,53
24234,Засор мусоропровода,35
24235,Отсутствие освещения в местах общего пользования,38
24235,Недогрев ГВС,24
24236,Застревание в лифте,7
24236,Лифт требует ремонта,4
24237,Отсутствуют актуальные мгновенные значения,405
24237,Нет связи с УСПД,315
24239,Отсутствуют актуальные мгновенные значения,272
24239,Нет связи с УСПД,10
24240,Отсутствуют актуальные суточные значения,23
24240,Отсутствуют актуальные мгновенные значения,6
24241,Низкий уровень сигнала GSM,24
24241,Отсутствуют актуальные мгновенные значения,13
24242,Отсутствуют актуальные суточные значения,30
24242,Отсутствуют актуальные мгновенные значения,19
24245,Отсутствие освещения в местах общего пользования,36
24245,Повреждение элементов входной двери,23
24412,Температура в квартире ниже нормативной,211
24412,Загрязнение/замусоренность подъезда,31
24413,Температура в квартире ниже нормативной,84
24413,Отсутствуют актуальные мгновенные значения,17
24414,Температура в квартире ниже нормативной,100
24414,Отсутствуют актуальные мгновенные значения,34
24415,Температура в квартире ниже нормативной,91
24415,Отсутствие ГВС в доме,25
24416,Температура в квартире ниже нормативной,45
24416,Отсутствие ГВС в доме,24
24417,Температура в квартире ниже нормативной,155
24417,Отсутствие освещения в местах общего пользования,17
24418,Температура в квартире ниже нормативной,156
24418,Отсутствуют актуальные мгновенные значения,25
24419,Отсутствие освещения в местах общего пользования,20
24419,Температура в квартире ниже нормативной,19
24420,Отсутствуют актуальные мгновенные значения,326
24420,Нет связи с УСПД,105
24421,Температура в квартире ниже нормативной,115
24421,Отсутствие ГВС в доме,42
24422,Отсутствие ГВС в доме,40
24422,Отсутствие освещения в местах общего пользования,21
24423,Отсутствие освещения в местах общего пользования,18
24423,Отсутствие ГВС в доме,14
24424,Отсутствуют актуальные мгновенные значения,68
24424,Расхождение времени ПУ,10
24425,Температура в квартире ниже нормативной,37
24425,Отсутствуют актуальные мгновенные значения,24
24426,Температура в квартире ниже нормативной,231
24426,Отсутствие ГВС в доме,68
24427,Температура в квартире ниже нормативной,56
24427,Отсутствует циркуляция ГВС,23
24428,Отсутствует циркуляция ГВС,21
24428,Температура в квартире ниже нормативной,21
24429,Температура в квартире ниже нормативной,160
24429,Лифт требует ремонта,129
24430,Недогрев ГВС,73
24430,Температура в квартире ниже нормативной,45
24431,Температура в квартире ниже нормативной,97
24431,Низкий уровень сигнала GSM,17
24432,Температура в квартире ниже нормативной,53
24432,Отсутствуют актуальные мгновенные значения,22
24433,Температура в квартире ниже нормативной,42
24433,Повреждение элементов входной двери,18
24434,Температура ГВС ниже нормы,19
24434,Отсутствуют актуальные суточные значения,15
24435,Отсутствует циркуляция ГВС,27
24435,Температура ГВС ниже нормы,19
24436,Нет связи с ПУ,266
24436,Отсутствуют актуальные суточные значения,181
24590,Недогрев ГВС,18
24590,Отсутствие ГВС в доме,5
24591,Загрязнение/замусоренность подъезда,55
24591,Отсутствует циркуляция ГВС,38
24592,Отсутствуют актуальные мгновенные значения,36
24592,Отсутствуют актуальные суточные значения,12
24593,Повреждение системы электропроводки/щитового оборудования,30
24593,Отсутствуют актуальные мгновенные значения,20
24594,T1 < min,37
24594,Отсутствуют актуальные мгновенные значения,24
24595,Нет связи с УСПД,1346
24595,Отсутствуют актуальные мгновенные значения,649
24596,Отсутствует циркуляция ГВС,32
24596,Отсутствуют актуальные мгновенные значения,29
24597,Отсутствует циркуляция ГВС,35
24597,Отсутствие ГВС в доме,23
24598,Засор мусоропровода,43
24598,Наличие крыс/мышей/насекомых в местах общего пользования,35
24599,Загрязнение/замусоренность подъезда,46
24599,Отсутствуют актуальные мгновенные значения,36
24600,Отсутствуют актуальные суточные значения,111
24600,Температура в квартире ниже нормативной,43
24601,Отсутствие освещения в местах общего пользования,93
24601,Загрязнение/замусоренность подъезда,46
24602,Температура в квартире ниже нормативной,111
24602,Отсутствие освещения в местах общего пользования,56
24603,Отсутствие освещения в местах общего пользования,51
24603,Низкий уровень сигнала GSM,29
24604,Низкий уровень сигнала GSM,41
24604,Температура в квартире ниже нормативной,29
24605,Температура в квартире ниже нормативной,116
24605,Загрязнение/замусоренность подъезда,22
24606,Отсутствие освещения в местах общего пользования,64
24606,Лифт требует ремонта,43
24607,Температура в квартире ниже нормативной,170
24607,Отсутствуют актуальные суточные значения,21
24608,Температура в квартире ниже нормативной,63
